index_name;items;timeStamp
matrix;what did she tell you? that i would find the one. i told you i can only show you the door. you have to walk through it. hello, neo. you're right on time. make yourself at home, morpheus. neo, come with me. these are the other potentials. you can wait here. do not try and bend the spoon. that's impossible. instead, only try to realize the truth.;01:10:17,880 -->   01:11:58,354
matrix;what truth? there is no spoon.;01:11:58,605 -->   01:12:04,193
matrix;there is no spoon? then you'll see that it is not the spoon that bends. it is only yourself. the oracle will see you now. i know you're neo. be right with you. - you're the oracle? - bingo.;01:12:04,445 -->   01:12:49,489
matrix;not quite what you were expecting, right? almost done.;01:12:50,532 -->   01:12:56,829
matrix;smell good, don't they? yeah. i'd ask you to sit down ...   ... but you're not going to anyway. - and don't worry about the vase. - what vase? that vase. i'm sorry. i said don't worry about it. i'll get one of my kids to fix it.;01:12:58,082 -->   01:13:20,812
matrix;how did you know? what's really going to bake your noodle later on is ...   ... would you still have broken it if i hadn't said anything? you're cuter than i thought. i can see why she likes you.;01:13:22,856 -->   01:13:43,918
matrix;who? not too bright, though. you know why morpheus brought you to see me.;01:13:44,169 -->   01:13:55,680
matrix;so ...   ... what do you think? do you think you are the one? honestly, i don't know.;01:13:56,640 -->   01:14:09,444
matrix;"you know what that means? it's latin. means ""know thyself."" i'm going to let you in on a little secret. being the one is just like being in love.";01:14:10,279 -->   01:14:27,128
matrix;no one can tell you you're in love. you just know it ...   ... through and through. balls to bones.;01:14:27,379 -->   01:14:34,260
matrix;"well ...   ... i'd better have a look at you. open your mouth. say, ""ah.""";01:14:36,221 -->   01:14:57,200
matrix;"okay ... . now i'm supposed to say, ""hmm, that's interesting, but...."" then you say... but what? but you already know what i'm going to tell you. - i'm not the one. - sorry, kid.";01:14:57,826 -->   01:15:18,513
matrix;you got the gift ...   ... but it looks like you're waiting for something. what? your next life, maybe. who knows? that's the way these things go. - what's funny? - morpheus. he, he almost had me convinced. i know. poor morpheus. without him, we're lost.;01:15:19,431 -->   01:15:56,300
matrix;"what do you mean, ""without him""? are you sure you want to hear this? morpheus believes in you, neo.";01:16:00,305 -->   01:16:11,065
matrix;and no one, not you, not even me ...   ... can convince him otherwise. he believes it so blindly ...   ... that he's going to sacrifice his life to save yours. what? you're going to have to make a choice. in the one hand, you'll have morpheus' life. and in the other hand, you'll have your own. one of you is going to die. which one will be up to you. i'm sorry, kiddo. i really am. you have a good soul. and i hate giving good people bad news. oh, don't worry about it.;01:16:11,316 -->   01:16:58,112
matrix;as soon as you step outside that door ...   ... you'll start feeling better. you'll remember you don't believe in any of this fate crap. you're in control of your own life.;01:16:58,363 -->   01:17:10,708
matrix;remember? here ...   ... take a cookie. i promise, by the time you're done eating it ...   ... you'll feel right as rain. what was said ...   ... was for you ...   ... and for you alone. they're on the way.;01:17:12,377 -->   01:18:34,125
matrix;what is that? whoa, dã©jã  vu.;01:18:48,890 -->   01:18:54,895
matrix;what did you just say? nothing. i just had a little dã©jã  vu. - what did you see? - what happened? a black cat went past us ...   ...and then another that looked just like it. how much like it, was it the same cat? - might have been, i'm not sure. - switch, apoc.;01:18:55,147 -->   01:19:14,874
matrix;what is it? a dã©jã  vu is usually a glitch in the matrix. it happens when they change something. oh, my god. let's go. they cut the hard line. it's a trap! get out! - oh, no. - oh, no. that's what they changed. we're trapped. there's no way out be calm. give me your phone. they'll be able to track it. we have no choice. operator. tank. find a structural drawing of this building. find it fast. - got it! - i need the main wet-wall. eighth floor. they're on the eighth floor. switch, straight ahead.;01:19:15,125 -->   01:20:54,431
matrix;neo ... . i hope the oracle gave you some good news. then left. that's it. good.;01:21:00,564 -->   01:21:24,837
matrix;where are they? shh. they're in the walls.;01:22:25,273 -->   01:22:29,068
matrix;they're in the walls! it's an agent! morpheus! you must get neo out! he's all that matters! - no. no, morpheus! don't! - trinity, go!;01:22:50,465 -->   01:23:09,066
matrix;go! - we can't leave him! - we have to! cypher, come on! the great morpheus. we meet at last.;01:23:15,323 -->   01:23:53,777
matrix;and you are? a smith. agent smith. you all look the same to me. take him.;01:23:54,029 -->   01:25:04,973
matrix;no! - operator. - yeah, i need an exit, fast. - cypher? - yeah, there was an accident. goddamn car accident. all of a sudden, boom. somebody up there still likes me. i gotcha. get me out of here fast. intersection of franklin and erie. an old tv repair shop. right. - operator. - tank, it's me.;01:25:10,105 -->   01:25:34,962
